Территория преимущественного использования ТС	Категория «A», «М»	Категория «B», «BE» юр. лиц	Категория «B», «BE» физ. лиц, индивид. Предприним.	Категория «B», «BE» Такси	Категория «C», «CE» менее 16 тонн (включит.)	Категория «C», «CE» более 16 тонн	Категория «D», «DE» до 16 мест (включит.)	Категория «D», «DE» более 16 мест	Категория «D», «DE» Маршрутка	Троллейбусы	Трамваи	Тракторы, самоходные дорожностроительные и иные машины
Тамбовская область												
Мичуринск	694	2058	4354	7399	2807	4227	2246	2807	7399	4044	2521	899
Тамбов	694	2058	4253	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4354	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверская область												
Вышний Волочек, Кимры, Ржев	694	2058	4427	7399	2807	4227	2246	2807	7399	4044	2521	899
Тверь	694	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Томская область												
Северск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Томск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Тульская область												
Алексин, Ефремов, Новомосковск	694	2058	4300	7399	2807	4227	2246	2807	7399	4044	2521	899
Тула	694	2058	3893	7399	2807	4227	2246	2807	7399	4044	2521	899
Узловая, Щекино	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Тюменская область												
Тобольск	694	2058	4324	7399	2807	4227	2246	2807	7399	4044	2521	899
Тюмень	694	2058	4118	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4736	7399	2807	4227	2246	2807	7399	4044	2521	899
Ульяновская область												
Димитровград	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Ульяновск	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Прочие города и населенные пункты	694	2058	4942	7399	2807	4227	2246	2807	7399	4044	2521	899
Челябинская область												
